X,Y,NAME,POP_EST
-58.3984225917,-23.2275189988,Paraguay,6995655
35.1978123652,31.9160833796,Palestine,4119083
-145.0520403584,-15.1887795958,Fr. Polynesia,287032
51.1868312936,25.3130745941,Qatar,833285
24.9729418877,45.8534640934,Romania,22215421
96.6937606731,61.9845553377,Russia,140041247
29.9190607046,-1.9927505279,Rwanda,10473282
-12.2149616246,24.2325607109,W. Sahara,-99
44.5368636675,24.1223270406,Saudi Arabia,28686633
117.7538119633,15.152112822,Scarborough Reef,-99
29.9396178119,15.9868811567,Sudan,25946220
30.3011196122,7.2835307077,S. Sudan,10625176
-14.4713060565,14.3677885992,Senegal,13711597
-78.6381187277,15.8644608963,Serranilla Bank,-99
103.813467658,1.3589210202,Singapore,4657542
-35.8823166145,-54.679219153,S. Geo. and S. Sandw. Is.,30
-10.1384178372,-24.9113502363,Saint Helena,7637
159.6380944629,-8.9095832054,Solomon Is.,595613
-11.7950155783,8.5630858429,Sierra Leone,6440053
-88.8709233188,13.735848698,El Salvador,7185218
12.4422225588,43.9364661946,San Marino,30324
46.2548191114,9.7310158816,Somaliland,3500000
45.7061443931,4.7488368198,Somalia,9832017
-56.3078135425,46.9304579498,St. Pierre and Miquelon,7051
20.7904024959,44.2213758659,Serbia,7379339
6.7264428742,0.4442600377,São Tomé and Principe,212679
-55.9110713561,4.1312449824,Suriname,481267
19.4803829712,48.7049353017,Slovakia,5463046
14.8080897346,46.1161110731,Slovenia,2005692
16.7544664409,62.7770998682,Sweden,9059651
31.480024103,-26.561914349,Swaziland,1123913
-63.070131027,18.0406293458,Sint Maarten,37429
52.0622919004,-6.4899904837,Seychelles,87476
38.5045643291,35.0230025584,Syria,20178485
-71.8733066017,21.7800453763,Turks and Caicos Is.,22942
18.646251114,15.3330781051,Chad,10329208
0.9622716266,8.5267880892,Togo,6019877
101.0033333514,15.1143997393,Thailand,65905410
71.0158341024,38.5298856715,Tajikistan,7349145
59.3759606256,39.115933882,Turkmenistan,4884887
125.8510758455,-8.8237785475,Timor-Leste,1131612
-174.8685122725,-20.0665597366,Tonga,120898
-61.2584498393,10.4688298568,Trinidad and Tobago,1310000
9.5546262475,34.119405217,Tunisia,10486339
35.1672394263,39.061080591,Turkey,76805524
178.5203531626,-7.7590690956,Tuvalu,12373
120.9498753298,23.7529851134,Taiwan,22974347
34.8135864205,-6.2750974811,Tanzania,41048532
32.3670398527,1.2756911925,Uganda,32369558
31.3857475944,48.9973690779,Ukraine,45700395
-103.2771322231,13.3034052497,U.S. Minor Outlying Is.,-99
-56.0171550655,-32.7982107538,Uruguay,3494382
-99.8323037306,39.3238560063,United States,313973000
-75.1546729333,19.9292537043,USNB Guantanamo Bay,7000
63.1399088903,41.7560359188,Uzbekistan,27606007
12.4534177294,41.9033124692,Vatican,832
