X,Y,NAME,POP_EST
-4711673.32861325,5006359.11200587,St. Pierre and Miquelon,7051
1768484.46790961,4724451.88930608,Serbia,7379339
635484.345795536,47514.4659297425,São Tomé and Principe,212679
-5277009.80355695,441845.343808649,Suriname,481267
1611516.75414508,5191974.67218433,Slovakia,5463046
1245363.33017675,4921259.11992753,Slovenia,2005692
1230328.79074168,6605264.36955667,Sweden,9059651
2883195.15826285,-2841033.04339724,Swaziland,1123913
-5871884.93592663,1929501.74367272,Sint Maarten,37429
4907967.54588764,-694118.375380444,Seychelles,87476
3429024.31402565,3745807.18311132,Syria,20178485
-6648940.48224414,2329361.09898247,Turks and Caicos Is.,22942
1743217.04860731,1639904.6756941,Chad,10329208
90597.0356353808,911959.029877096,Togo,6019877
9445567.18384576,1616514.89603531,Thailand,65905410
6228014.90200377,4127208.25648022,Tajikistan,7349145
5192605.59796029,4190434.0930289,Turkmenistan,4884887
11846229.4976033,-943722.703149369,Timor-Leste,1131612
-16225111.0825055,-2146155.31133622,Tonga,120898
-5758570.49210139,1119660.49058948,Trinidad and Tobago,1310000
853962.922396742,3648318.40626811,Tunisia,10486339
3076299.3331177,4184532.6105141,Turkey,76805524
16816319.668075,-829849.780476173,Tuvalu,12373
11147574.613747,2540355.84267511,Taiwan,22974347
3282308.6735629,-671134.943648619,Tanzania,41048532
3057599.70350885,136437.649446022,Uganda,32369558
2591313.49416339,5222508.46715129,Ukraine,45700395
-9680505.1556568,1422819.33251003,U.S. Minor Outlying Is.,-99
-5031910.00507789,-3506751.00767222,Uruguay,3494382
-8721771.57393723,4212769.306604,United States,313973000
-6974831.48460921,2131474.6673948,USNB Guantanamo Bay,7000
5446817.84008645,4469395.9269924,Uzbekistan,27606007
1073436.21653608,4484707.41406331,Vatican,832
-5737373.80404529,1413494.22342181,St. Vin. and Gren.,104574
-6235472.53710922,762326.585444795,Venezuela,26814843
-6000624.11322785,1979688.73976114,British Virgin Is.,24491
-6033312.14205223,1923075.61492845,U.S. Virgin Is.,109825
9918771.1742009,1779927.71704208,Vietnam,86967524
15658383.2139671,-1732767.06574622,Vanuatu,218519
-16587714.7663853,-1469311.50805283,Wallis and Futuna Is.,15289
2937568.80021911,3703521.98053418,Akrotiri,7850
-16128546.6855506,-1471075.57131642,Samoa,219998
4445529.99891073,1701122.94938444,Yemen,23822783
2282378.64025096,-3101953.51433292,South Africa,49052489
2602887.83520035,-1439579.33620111,Zambia,11862740
2774798.15293421,-2032375.58832886,Zimbabwe,12619600
